"id","name","station_id","facility_type","physical_city","physical_state","Vet Center Status
(Normal, Alpha, Bravo, Charlie, Delta)","facility_status
(Options: Normal services and hours, Facility notice, Limited services and hours, Facility closed)","facility_status_more_info
(limit 300 characters, plain text only, changed yellow if too long)"
"vc_2231OS","Logan Outstation","2231OS","vet_center","Henlawson","WV","Delta Status","Facility closed","We've closed our Vet Center at this time, following coronavirus COVID-19 guidance from the CDC and our local health department. We're conducting all appointments virtually. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_2091OS","Salisbury Outstation","2091OS","vet_center","Salisbury","MD","Delta Status","Facility closed","We've closed our Vet Center at this time, following coronavirus COVID-19 guidance from the CDC and our local health department. We're conducting all appointments virtually. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0110V","Bronx Vet Center","0110V","vet_center","Bronx","NY","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_7241OS","Clarksville Outstation","7241OS","vet_center","Clarksville","TN","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0311V","Ft. Lauderdale Vet Center","0311V","vet_center","Lauderdale Lakes","FL","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0310V","Miami Vet Center","0310V","vet_center","Miami","FL","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0717V","New Orleans Vet Center","0717V","vet_center","New Orleans","LA","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0336V","Pompano Beach Vet Center","0336V","vet_center","Pompano Beach","FL","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0109V","Queens Vet Center","0109V","vet_center","Woodhaven","NY","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_3121OS","St Croix Outstation","3121OS","vet_center","Kingshill","VI","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_3122OS","St. Thomas Outstation","3122OS","vet_center","St Thomas","VI","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0131V","Syracuse Vet Center","0131V","vet_center","Syracuse","NY","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0135V","Watertown Vet Center","0135V","vet_center","Watertown","NY","Charlie Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_2092OS","Aberdeen Outstation","2092OS","vet_center","Aberdeen","MD","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0733V","Abilene Vet Center","0733V","vet_center","Abilene","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0111V","Albany Vet Center","0111V","vet_center","Albany","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0515V","Albuquerque Vet Center","0515V","vet_center","Albuquerque","NM","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
